Plot,Time,Feeder Y/N,Direction,Transect,Meter,Invasive,Veg Type,Species,Height,Browse,Browse percentage,Bite count,Total stems,Family,,Notes
LV1,2018,Y,SE,2,33,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,34,Invasive,Vine,Japanese Honeysuckle,15,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,35,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,35,Native,Vine,Blackberry,50,,,,,Rosaceae,,
LV1,2018,Y,SE,2,36,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,36,Native,Vine,Poison Ivy,5,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,37,Invasive,Vine,Japanese Honeysuckle,15,,,,,Caprifoliaceae,,
LV1,2018,Y,SE,2,38,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,39,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,40,Native,Grass,Silver Plumegrass,80,,,,,Poaceae,,
LV1,2018,Y,SE,2,41,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,42,Native,Forb,Goldenrod,120,,,,,Asteraceae,,
LV1,2018,Y,SE,2,42,Native,Tree,Sweetgum,130,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,43,Native,Vine,Poison Ivy,20,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,43,Native,Vine,Trumpet Creeper,30,,,,,Bignoniaceae,,
LV1,2018,Y,SE,2,43,Native,Tree,Sweetgum,120,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,44,Native,Vine,Trumpet Creeper,50,,,,,Bignoniaceae,,
LV1,2018,Y,SE,2,44,Native,Tree,Sweetgum,150,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,45,Native,Vine,Blackberry,140,,,,,Rosaceae,,
LV1,2018,Y,SE,2,45,Native,Tree,Willow Oak,130,,,,,Fagaceae,,
LV1,2018,Y,SE,2,45,Native,Tree,Sweetgum,150,,,,,Hammamelidaceae,,
LV1,2018,Y,SE,2,46,Native,Forb,Winged Sumac,80,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,46,Native,Tree,Willow Oak,120,,,,,Fagaceae,,
LV1,2018,Y,SE,2,47,Native,Forb,Winged Sumac,50,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,47,Native,Tree,Green Ash,130,,,,,Oleaceae,,
LV1,2018,Y,SE,2,48,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,SE,2,49,Native,Forb,Winged Sumac,50,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,50,Native,Vine,Poison Ivy,10,,,,,Anacardiaceae,,
LV1,2018,Y,SE,2,50,Native,Tree,Sweetgum,50,,,,,Hammamelidaceae,,
LV1,2018,Y,NE,1,1,Native,Grass,Silver Plumegrass,20,,,,,Poaceae,,
LV1,2018,Y,NE,1,2,Native,Grass,Silver Plumegrass,20,,,,,Poaceae,,
LV1,2018,Y,NE,1,3,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,3,Native,Grass,Silver Plumegrass,60,,,,,Poaceae,,
LV1,2018,Y,NE,1,3,Invasive,Forb,Brazilian Vervain,70,,,,,Verbenas,,
LV1,2018,Y,NE,1,4,Invasive,Vine,Japanese Honeysuckle,40,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,4,Native,Grass,Spike Grass,40,,,,,Poaceae,,
LV1,2018,Y,NE,1,4,Invasive,Forb,Brazilian Vervain,50,,,,,Verbenas,,
LV1,2018,Y,NE,1,5,Native,Grass,Dichanthelium,50,,,,,Poaceae,,
LV1,2018,Y,NE,1,5,Native,Vine,Blackberry,60,,,,,Rosaceae,,
LV1,2018,Y,NE,1,5,Invasive,Forb,Brazilian Vervain,25,,,,,Verbenas,,
LV1,2018,Y,NE,1,5,Native,Grass,Spike Grass,30,,,,,Poaceae,,
LV1,2018,Y,NE,1,6,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,6,Native,Grass,Spike Grass,30,,,,,Poaceae,,
LV1,2018,Y,NE,1,7,Invasive,Forb,Brazilian Vervain,50,,,,,Verbenas,,
LV1,2018,Y,NE,1,7,Native,Tree,Post Oak,160,,,,,Fagaceae,,
LV1,2018,Y,NE,1,8,Native,Vine,Blackberry,35,,,,,Rosaceae,,
LV1,2018,Y,NE,1,8,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,9,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,10,Invasive,Vine,Japanese Honeysuckle,2,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,11,Native,Tree,Post Oak,160,,,,,Fagaceae,,
LV1,2018,Y,NE,1,12,Native,Tree,Oak,120,,,,,Fagaceae,,
LV1,2018,Y,NE,1,13,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,14,Native,Vine,Poison Ivy,15,,,,,Anacardiaceae,,
LV1,2018,Y,NE,1,14,Native,Tree,Red Maple,50,,,,,Aceraceae,,
LV1,2018,Y,NE,1,14,Native,Tree,Post Oak,60,,,,,Fagaceae,,
LV1,2018,Y,NE,1,15,Native,Grass,Silver Plumegrass,75,,,,,Poaceae,,
LV1,2018,Y,NE,1,16,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,17,Native,Tree,Post Oak,40,,,,,Fagaceae,,
LV1,2018,Y,NE,1,17,Native,Grass,Silver Plumegrass,50,,,,,Poaceae,,
LV1,2018,Y,NE,1,18,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,19,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,20,Native,Vine,Muscadine,55,,,,,Vitaceae,,
LV1,2018,Y,NE,1,21,Native,Vine,Blackberry,30,,,,,Rosaceae,,
LV1,2018,Y,NE,1,21,Invasive,Vine,Japanese Honeysuckle,45,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,21,Native,Vine,Muscadine,35,,,,,Vitaceae,,
LV1,2018,Y,NE,1,22,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,23,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,23,Native,Grass,Silver Plumegrass,20,,,,,Poaceae,,
LV1,2018,Y,NE,1,24,Native,Vine,Muscadine,35,,,,,Vitaceae,,
LV1,2018,Y,NE,1,25,Invasive,Vine,Japanese Honeysuckle,100,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,25,Native,Tree,Post Oak,100,,,,,Fagaceae,,
LV1,2018,Y,NE,1,25,Native,Vine,Blackberry,40,,,,,Rosaceae,,
LV1,2018,Y,NE,1,26,Native,Vine,Blackberry,70,,,,,Rosaceae,,
LV1,2018,Y,NE,1,26,Invasive,Vine,Japanese Honeysuckle,25,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,27,Native,Vine,Blackberry,40,,,,,Rosaceae,,
LV1,2018,Y,NE,1,28,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,29,Invasive,Vine,Japanese Honeysuckle,30,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,30,Invasive,Vine,Japanese Honeysuckle,35,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,31,Native,Forb,Goldenrod,60,,,,,Asteraceae,,
LV1,2018,Y,NE,1,31,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,32,Invasive,Vine,Japanese Honeysuckle,30,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,33,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,34,Native,Vine,Blackberry,40,,,,,Rosaceae,,
LV1,2018,Y,NE,1,34,Native,Tree,Sweetgum,70,,,,,Hammamelidaceae,,
LV1,2018,Y,NE,1,35,Invasive,Vine,Japanese Honeysuckle,90,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,35,Native,Tree,Green Ash,160,,,,,Oleaceae,,
LV1,2018,Y,NE,1,36,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,37,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,37,Native,Vine,Dewberry,10,,,,,Rosaceae,,
LV1,2018,Y,NE,1,38,Native,Tree,Persimmon,80,,,,,Ebenaceae,,
LV1,2018,Y,NE,1,38,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,39,Native,Tree,Persimmon,160,,,,,Ebenaceae,,
LV1,2018,Y,NE,1,39,Native,Vine,Virginia Creeper,10,,,,,Vitaceae,,
LV1,2018,Y,NE,1,40,Native,Tree,Sweetgum,160,,,,,Hammamelidaceae,,
LV1,2018,Y,NE,1,41,Native,Tree,Sweetgum,160,,,,,Hammamelidaceae,,
LV1,2018,Y,NE,1,42,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,42,Native,Tree,Sweetgum,140,,,,,Hammamelidaceae,,
LV1,2018,Y,NE,1,43,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,44,Native,Vine,Blackberry,20,,,,,Rosaceae,,
LV1,2018,Y,NE,1,45,Invasive,Vine,Japanese Honeysuckle,25,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,46,Native,Tree,Red Maple,160,,,,,Aceraceae,,
LV1,2018,Y,NE,1,46,Invasive,Vine,Japanese Honeysuckle,150,,,,,Caprifoliaceae,,
LV1,2018,Y,NE,1,47,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,48,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NE,1,49,Native,Tree,Red Maple,45,,,,,Aceraceae,,
LV1,2018,Y,NE,1,50,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,1,Native,Forb,Goldenrod,60,,,,,Asteraceae,,
LV1,2018,Y,SW,4,1,Native,Vine,Blackberry,160,,,,,Rosaceae,,
LV1,2018,Y,SW,4,2,Native,Forb,Goldenrod,150,,,,,Asteraceae,,
LV1,2018,Y,SW,4,3,Native,Shrub,Eastern Baccharis,60,,,,,Asteraceae,,
LV1,2018,Y,SW,4,3,Native,Vine,Muscadine,60,,,,,Vitaceae,,
LV1,2018,Y,SW,4,4,Native,Vine,Muscadine,80,,,,,Vitaceae,,
LV1,2018,Y,SW,4,4,Native,Tree,Post Oak,90,,,,,Fagaceae,,
LV1,2018,Y,SW,4,5,Native,Vine,Muscadine,50,,,,,Vitaceae,,
LV1,2018,Y,SW,4,5,Native,Vine,Blackberry,70,,,,,Rosaceae,,
LV1,2018,Y,SW,4,6,Native,Vine,Muscadine,60,,,,,Vitaceae,,
LV1,2018,Y,SW,4,6,Native,Grass,Spike Grass,30,,,,,Poaceae,,
LV1,2018,Y,SW,4,7,Native,Forb,Goldenrod,30,,,,,Asteraceae,,
LV1,2018,Y,SW,4,7,Native,Vine,Blackberry,90,,,,,Rosaceae,,
LV1,2018,Y,SW,4,8,Native,Vine,Muscadine,10,,,,,Vitaceae,,
LV1,2018,Y,SW,4,9,Native,Vine,Muscadine,25,,,,,Vitaceae,,
LV1,2018,Y,SW,4,9,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,10,Native,Vine,Blackberry,50,,,,,Rosaceae,,
LV1,2018,Y,SW,4,10,Native,Vine,Muscadine,95,,,,,Vitaceae,,
LV1,2018,Y,SW,4,10,Invasive,Vine,Japanese Honeysuckle,55,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,10,Native,Tree,Winged Elm,20,,,,,Ulmaceae,,
LV1,2018,Y,SW,4,11,Native,Grass,Dichanthelium,30,,,,,Poaceae,,
LV1,2018,Y,SW,4,11,Native,Vine,Blackberry,75,,,,,Rosaceae,,
LV1,2018,Y,SW,4,12,Invasive,Vine,Japanese Honeysuckle,5,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,12,Native,Forb,Goldenrod,100,,,,,Asteraceae,,
LV1,2018,Y,SW,4,13,Native,Grass,Spike Grass,10,,,,,Poaceae,,
LV1,2018,Y,SW,4,13,Native,Vine,Muscadine,25,,,,,Vitaceae,,
LV1,2018,Y,SW,4,14,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,14,Native,Vine,Blackberry,50,,,,,Rosaceae,,
LV1,2018,Y,SW,4,15,Native,Vine,Muscadine,130,,,,,Vitaceae,,
LV1,2018,Y,SW,4,15,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,16,Native,Tree,Water Oak,100,,,,,Fagaceae,,
LV1,2018,Y,SW,4,16,Native,Tree,Red Maple,85,,,,,Aceraceae,,
LV1,2018,Y,SW,4,16,Native,Vine,Muscadine,100,,,,,Vitaceae,,
LV1,2018,Y,SW,4,17,Invasive,Vine,Japanese Honeysuckle,40,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,17,Native,Tree,Red Maple,100,,,,,Aceraceae,,
LV1,2018,Y,SW,4,18,Native,Tree,Red Maple,160,,,,,Aceraceae,,
LV1,2018,Y,SW,4,19,Native,Vine,Blackberry,65,,,,,Rosaceae,,
LV1,2018,Y,SW,4,20,Native,Vine,Blackberry,70,,,,,Rosaceae,,
LV1,2018,Y,SW,4,21,Native,Vine,Blackberry,40,,,,,Rosaceae,,
LV1,2018,Y,SW,4,21,Invasive,Vine,Japanese Honeysuckle,30,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,22,Native,Forb,Goldenrod,80,,,,,Asteraceae,,
LV1,2018,Y,SW,4,23,Native,Forb,Goldenrod,80,,,,,Asteraceae,,
LV1,2018,Y,SW,4,23,Invasive,Vine,Japanese Climbing Fern,90,,,,,Lygodiaceae,,
LV1,2018,Y,SW,4,24,Native,Vine,Poison Ivy,30,,,,,Anacardiaceae,,
LV1,2018,Y,SW,4,24,Invasive,Vine,Japanese Honeysuckle,50,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,25,Invasive,Vine,Japanese Honeysuckle,70,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,25,Native,Vine,Muscadine,80,,,,,Vitaceae,,
LV1,2018,Y,SW,4,26,Native,Vine,Muscadine,30,,,,,Vitaceae,,
LV1,2018,Y,SW,4,27,Invasive,Vine,Japanese Honeysuckle,50,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,28,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,29,Native,Grass,Silver Plumegrass,40,,,,,Poaceae,,
LV1,2018,Y,SW,4,29,Native,Forb,Goldenrod,70,,,,,Asteraceae,,
LV1,2018,Y,SW,4,30,Invasive,Vine,Japanese Honeysuckle,30,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,30,Native,Grass,Silver Plumegrass,95,,,,,Poaceae,,
LV1,2018,Y,SW,4,31,Native,Vine,Poison Ivy,20,,,,,Anacardiaceae,,
LV1,2018,Y,SW,4,31,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,32,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,32,Native,Vine,Muscadine,30,,,,,Vitaceae,,
LV1,2018,Y,SW,4,33,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,34,Invasive,Vine,Japanese Honeysuckle,1,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,34,Native,Vine,Poison Ivy,30,,,,,Anacardiaceae,,
LV1,2018,Y,SW,4,34,Native,Forb,Winged Sumac,120,,,,,Anacardiaceae,,
LV1,2018,Y,SW,4,34,Native,Tree,Eastern Red Cedar,160,,,,,Cupressaceae,,
LV1,2018,Y,SW,4,35,Native,Grass,Silver Plumegrass,50,,,,,Poaceae,,
LV1,2018,Y,SW,4,36,Native,Grass,Silver Plumegrass,50,,,,,Poaceae,,
LV1,2018,Y,SW,4,37,Invasive,Vine,Japanese Honeysuckle,100,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,37,Native,Grass,Silver Plumegrass,40,,,,,Poaceae,,
LV1,2018,Y,SW,4,37,Native,Forb,Goldenrod,15,,,,,Asteraceae,,
LV1,2018,Y,SW,4,38,Native,Vine,Blackberry,50,,,,,Rosaceae,,
LV1,2018,Y,SW,4,38,Invasive,Vine,Japanese Honeysuckle,40,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,38,Native,Grass,Silver Plumegrass,20,,,,,Poaceae,,
LV1,2018,Y,SW,4,39,Native,Grass,Silver Plumegrass,55,,,,,Poaceae,,
LV1,2018,Y,SW,4,39,Native,Vine,Blackberry,80,,,,,Rosaceae,,
LV1,2018,Y,SW,4,40,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,40,Native,Vine,Blackberry,120,,,,,Rosaceae,,
LV1,2018,Y,SW,4,41,Native,Vine,Blackberry,110,,,,,Rosaceae,,
LV1,2018,Y,SW,4,41,Invasive,Vine,Japanese Honeysuckle,30,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,42,Native,Grass,Spike Grass,60,,,,,Poaceae,,
LV1,2018,Y,SW,4,43,Native,Grass,Spike Grass,90,,,,,Poaceae,,
LV1,2018,Y,SW,4,43,Native,Vine,Blackberry,90,,,,,Rosaceae,,
LV1,2018,Y,SW,4,43,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,44,Invasive,Vine,Japanese Honeysuckle,20,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,44,Native,Vine,Poison Ivy,25,,,,,Anacardiaceae,,
LV1,2018,Y,SW,4,44,Native,Tree,Winged Elm,120,,,,,Ulmaceae,,
LV1,2018,Y,SW,4,45,Invasive,Vine,Japanese Honeysuckle,100,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,45,Native,Grass,Spike Grass,60,,,,,Poaceae,,
LV1,2018,Y,SW,4,46,Native,Grass,Spike Grass,20,,,,,Poaceae,,
LV1,2018,Y,SW,4,47,Native,Grass,Spike Grass,20,,,,,Poaceae,,
LV1,2018,Y,SW,4,48,Native,Grass,Spike Grass,40,,,,,Poaceae,,
LV1,2018,Y,SW,4,48,Native,Shrub,Eastern Baccharis,60,,,,,Asteraceae,,
LV1,2018,Y,SW,4,48,Invasive,Vine,Japanese Honeysuckle,100,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,49,Invasive,Vine,Japanese Honeysuckle,80,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,49,Native,Grass,Spike Grass,50,,,,,Poaceae,,
LV1,2018,Y,SW,4,50,Invasive,Vine,Japanese Honeysuckle,50,,,,,Caprifoliaceae,,
LV1,2018,Y,SW,4,50,Native,Grass,Silver Plumegrass,75,,,,,Poaceae,,
LV1,2018,Y,NW,3,1,Invasive,Vine,Japanese Honeysuckle,65,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,1,Native,Vine,Blackberry,130,,,,,Rosaceae,,
LV1,2018,Y,NW,3,2,Native,Vine,Blackberry,120,,,,,Rosaceae,,
LV1,2018,Y,NW,3,2,Native,Forb,Goldenrod,130,,,,,Asteraceae,,
LV1,2018,Y,NW,3,3,Native,Vine,Blackberry,100,,,,,Rosaceae,,
LV1,2018,Y,NW,3,3,Native,Vine,Smilax,20,,,,,Smilacaceae,,
LV1,2018,Y,NW,3,4,Invasive,Vine,Japanese Honeysuckle,100,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,4,Native,Vine,Blackberry,190,,,,,Rosaceae,,
LV1,2018,Y,NW,3,4,Native,Vine,Smilax,60,,,,,Smilacaceae,,
LV1,2018,Y,NW,3,5,Native,Vine,Muscadine,20,,,,,Vitaceae,,
LV1,2018,Y,NW,3,6,Invasive,Shrub,Chinese Privet,100,,,,,Oleaceae,,
LV1,2018,Y,NW,3,6,Native,Vine,Blackberry,100,,,,,Rosaceae,,
LV1,2018,Y,NW,3,7,Invasive,Vine,Japanese Honeysuckle,15,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,8,Invasive,Vine,Japanese Honeysuckle,50,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,9,Invasive,Vine,Japanese Honeysuckle,2,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,10,Invasive,Vine,Japanese Honeysuckle,60,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,10,Native,Vine,Blackberry,100,,,,,Rosaceae,,
LV1,2018,Y,NW,3,11,Invasive,Vine,Japanese Honeysuckle,80,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,12,Native,Tree,Winged Elm,160,,,,,Ulmaceae,,
LV1,2018,Y,NW,3,12,Invasive,Vine,Japanese Honeysuckle,130,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,13,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,14,Native,Vine,Blackberry,10,,,,,Rosaceae,,
LV1,2018,Y,NW,3,15,Invasive,Vine,Japanese Honeysuckle,80,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,16,Invasive,Vine,Japanese Honeysuckle,10,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,16,Native,Vine,Blackberry,75,,,,,Rosaceae,,
LV1,2018,Y,NW,3,17,Native,Vine,Blackberry,20,,,,,Rosaceae,,
LV1,2018,Y,NW,3,18,Invasive,Vine,Japanese Honeysuckle,15,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,19,Native,Tree,Sweetgum,130,,,,,Hammamelidaceae,,
LV1,2018,Y,NW,3,20,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
LV1,2018,Y,NW,3,21,Invasive,Shrub,Chinese Privet,100,,,,,Oleaceae,,
LV1,2018,Y,NW,3,21,Invasive,Vine,Japanese Honeysuckle,100,,,,,Caprifoliaceae,,
LV1,2018,Y,NW,3,22,na,Bare Ground,Bare Ground,0,,,,,inanimate,,
