Plot,Feeder,Time,Invasive,Veg Type,Species,Height,Browse
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,40,
LV3,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
LV3,N,2018,Native,Vine,Smilax,25,
LV3,N,2018,Native,Vine,Smilax,35,
LV3,N,2018,Native,Vine,Blackberry,50,
LV3,N,2018,Native,Vine,Blackberry,40,
LV3,N,2018,Native,Vine,Poison Ivy,30,
LV3,N,2018,Native,Vine,Muscadine,25,
LV3,Y,2018,Native,Vine,Muscadine,20,
LV3,Y,2018,Native,Vine,Muscadine,30,
LV3,Y,2018,Native,Vine,Muscadine,20,
LV3,Y,2018,Native,Vine,Muscadine,40,
LV3,Y,2018,Native,Vine,Muscadine,40,
LV3,Y,2018,Native,Vine,Muscadine,20,
LV3,Y,2018,Native,Forb,Golden Rod,70,
LV3,Y,2018,Native,Forb,Goldenrod,70,
LV3,Y,2018,Native,Forb,Goldenrod,50,
LV3,Y,2018,Native,Grass,Spike Grass,50,
LV3,Y,2018,Native,Grass,Spike Grass,80,
LV3,Y,2018,Native,Grass,Spike Grass,40,
LV3,Y,2018,Native,Grass,Spike Grass,50,
LV3,Y,2018,Native,Grass,Spike Grass,60,
LV3,Y,2018,Native,Forb,Flattop Goldenrod,35,
LV3,Y,2018,Native,Forb,Flattop Goldenrod,50,
LV3,Y,2018,Native,Forb,Flattop Goldenrod,30,
LV3,Y,2018,Native,Forb,Winged Sumac,30,
LV3,Y,2018,Invasive,Vine,Japanese Honeysuckle,60,
LV4,Y,2018,Native,Vine,Blackberry,74,
LV4,Y,2018,Native,Vine,Blackberry,90,
LV4,Y,2018,Native,Vine,Blackberry,38,
LV4,Y,2018,Native,Grass,Dichantheleum,33,
LV4,Y,2018,Invasive,Grass,Vasey's Grass,41,
LV4,Y,2018,Native,Tree,Sweetgum,150,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,140,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,36,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,99,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,14,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,17,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,9,
LV4,Y,2018,Invasive,Vine,Japanese Honeysuckle,68,
LV4,Y,2018,Native,Vine,dewberry,14,
LV4,Y,2018,Native,Vine,dewberry,16,
LV4,Y,2018,Native,Forb,Goldenrod,18,
LV4,Y,2018,Native,Forb,wood sorrel,10,
LV4,Y,2018,Native,Forb,wood sorrel,4,
LV4,Y,2018,Native,Shrub,American Beautyberry,150,
LV4,Y,2018,Native,Shrub,American Beautyberry,125,
LV4,Y,2018,Native,Tree,Red maple,4,
LV4,Y,2018,Native,Forb,Winged Sumac,36,
LV4,Y,2018,Native,Forb,Wingstem,30,
LV4,N,2018,Native,Forb,Flattop Goldenrod,46,
LV4,N,2018,Native,Forb,Flattop Goldenrod,54,
LV4,N,2018,Native,Forb,Flattop Goldenrod,58,
LV4,N,2018,Native,Forb,Flattop Goldenrod,48,
LV4,N,2018,Native,Forb,Flattop Goldenrod,43,
LV4,N,2018,Native,Forb,Flattop Goldenrod,56,
LV4,N,2018,Native,Forb,Flattop Goldenrod,32,
LV4,N,2018,Native,Forb,Flattop Goldenrod,25,
LV4,N,2018,Native,Forb,Flattop Goldenrod,49,
LV4,N,2018,Native,Forb,Flattop Goldenrod,24,
LV4,N,2018,Native,Forb,Flattop Goldenrod,21,
LV4,N,2018,Native,Forb,Flattop Goldenrod,25,
LV4,N,2018,Native,Forb,Flattop Goldenrod,11,
LV4,N,2018,Native,Forb,Flattop Goldenrod,14,
LV4,N,2018,Native,Forb,Flattop Goldenrod,9,
LV4,N,2018,Native,Forb,Flattop Goldenrod,41,
LV4,N,2018,Native,Forb,Flattop Goldenrod,40,
LV4,N,2018,Native,Forb,Flattop Goldenrod,20,
LV4,N,2018,Native,Forb,Flattop Goldenrod,45,
LV4,N,2018,Native,Forb,Flattop Goldenrod,39,
LV4,N,2018,Native,Forb,Flattop Goldenrod,43,
LV4,N,2018,Native,Forb,Flattop Goldenrod,40,
LV4,N,2018,Native,Forb,Goldenrod,35,
LV4,N,2018,Native,Forb,Goldenrod,80,
LV4,N,2018,Native,Forb,Goldenrod,20,
LV4,N,2018,Native,Forb,Goldenrod,26,
LV4,N,2018,Native,Forb,Goldenrod,25,
LV4,N,2018,Native,Forb,Goldenrod,15,
LV4,N,2018,Native,Grass,Dichantheleum,3,
LV4,N,2018,Native,Grass,Dichantheleum,10,
LV4,N,2018,Native,Grass,Dichantheleum,8,
LV4,N,2018,Native,Grass,Dichantheleum,4,
LV4,N,2018,Native,Grass,Dicahnthelium,7,
LV4,N,2018,Native,Grass,Dicahnthelium,6,
LV4,N,2018,Native,Grass,Dicahnthelium,5,
LV4,N,2018,Native,Grass,Dicahnthelium,3,
LV4,N,2018,Native,Grass,Dicahnthelium,8,
LV4,N,2018,Native,Forb,Wingstem,30,
LV4,N,2018,Native,Forb,Wingstem,41,
LV4,N,2018,Native,Forb,Wingstem,58,
LV4,N,2018,Native,Forb,Wingstem,40,
LV4,N,2018,Native,Forb,Wingstem,15,
LV4,N,2018,Native,Forb,Wingstem,26,
LV4,N,2018,Native,Forb,Wingstem,7,
LV4,N,2018,Native,Grass,Spike Grass,90,
LV4,N,2018,Native,Vine,Blackberry,26,
LV4,N,2018,Native,Vine,Blackberry,13,
LV5,Y,2018,Native,Tree,Willow Oak,50,
LV5,Y,2018,Native,Tree,Willow Oak,148,
LV5,Y,2018,Native,Vine,Blackberry,79,
LV5,Y,2018,Native,Vine,Jessamine,30,
LV5,Y,2018,Invasive,Vine,Japanese Honeysuckle,10,
LV5,Y,2018,Native,Forb,Desmodium,53,
LV5,N,2018,Native,Vine,dewberry,10,
LV5,N,2018,Native,Vine,Blackberry,98,
LV5,N,2018,Native,Vine,Blackberry,70,
LV5,N,2018,Native,Vine,Blackberry,26,
LV5,N,2018,Native,Vine,Blackberry,40,
LV5,N,2018,Native,Vine,Blackberry,17,
LV5,N,2018,Invasive,Vine,Japanese Honeysuckle,41,
LV5,N,2018,Invasive,Vine,Japanese Honeysuckle,24,
LV5,N,2018,Invasive,Vine,Japanese Climbing Fern,7,
LV5,N,2018,Invasive,Vine,Japanese Climbing Fern,4,
LV5,N,2018,Invasive,Vine,Japanese Climbing Fern,3,
LV5,N,2018,Invasive,Vine,Japanese Climbing Fern,5,
LV5,N,2018,Invasive,Vine,Japanese Climbing Fern,3,
LV6,N,2018,Native,Tree,Loblolly Pine,35,
LV6,N,2018,Native,Tree,Loblolly Pine,40,
LV6,N,2018,Native,Vine,Blackberry,52,
LV6,N,2018,Native,Vine,Blackberry,32,
LV6,N,2018,Native,Forb,Goldenrod,125,
LV6,N,2018,Native,Forb,Goldenrod,53,
LV6,N,2018,Native,Forb,Goldenrod,104,
LV6,N,2018,Native,Forb,Goldenrod,100,
LV6,N,2018,Native,Forb,Goldenrod,110,
LV6,N,2018,Native,Forb,Narrowleaf Sunflower,27,
LV6,N,2018,Native,Grass,Dicahnthelium,5,
LV6,Y,2018,Native,Forb,Goldenrod,120,
LV6,Y,2018,Native,Forb,Goldenrod,130,
LV6,Y,2018,Native,Forb,Goldenrod,140,
LV6,Y,2018,Native,Forb,Goldenrod,140,
LV6,Y,2018,Native,Forb,Goldenrod,140,
LV6,Y,2018,Native,Forb,Goldenrod,140,
LV6,Y,2018,Native,Forb,Goldenrod,130,
LV6,Y,2018,Native,Forb,Goldenrod,80,
LV6,Y,2018,Native,Forb,Goldenrod,110,
LV6,Y,2018,Native,Forb,Late Boneset,120,
LV6,Y,2018,Invasive,Forb,Brazzilian Vervain,120,
LV6,Y,2018,Native,Grass,Dicahnthelium,10-Jan,
P1,N,2018,Native,Moss,Moss,5,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,15,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,15,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,15,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,25,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,25,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,20,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
P1,N,2018,Native,Shrub,American Beautyberry,40,
P1,N,2018,Native,Shrub,American Beautyberry,80,
P1,N,2018,Native,Shrub,American Beautyberry,80,
P1,N,2018,Native,Shrub,American Beautyberry,80,
P2,Y,2018,Native,Vine,Virginia Creeper,3,
P2,Y,2018,Native,Vine,Virginia Creeper,2,
P2,Y,2018,Native,Vine,Virginia Creeper,2,
P2,Y,2018,Native,Vine,Virginia Creeper,1,
P2,N,2018,Native,Tree,Winged Elm,30,
P2,N,2018,Native,Vine,Muscadine,50,
P3,Y,2018,Native,Vine,Muscadine,40,
P3,Y,2018,Native,Vine,Muscadine,30,
P3,Y,2018,Native,Vine,Smilax,9,
P3,Y,2018,Native,Vine,Blackberry,20,
P3,N,2018,Native,Tree,Green ash,50,
P4,Y,2018,Native,Vine,Smilax,60,
P4,Y,2018,Native,Tree,Mockernut Hickory,40,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Grass,Dicahnthelium,10,
P4,Y,2018,Native,Vine,Jessamine,5,
P4,Y,2018,Native,Vine,Jessamine,5,
P4,Y,2018,Native,Vine,Jessamine,5,
P4,Y,2018,Native,Vine,Jessamine,5,
P4,Y,2018,Native,Vine,Jessamine,5,
P4,Y,2018,Native,Vine,Jessamine,5,
P4,Y,2018,Native,Vine,Jessamine,3,
P4,Y,2018,Native,Vine,Jessamine,2,
P4,Y,2018,Native,Vine,Jessamine,8,
P4,Y,2018,Native,Vine,Jessamine,4,
P4,Y,2018,Native,Grass,Sedge,6,
P5,Y,2018,Native,Vine,Muscadine,20,
P5,Y,2018,Native,Tree,Sweetgum,150,
P5,Y,2018,Native,Tree,Sweetgum,150,
P5,N,2018,Native,Vine,Muscadine,15,
P5,N,2018,Native,Vine,Muscadine,30,
P5,N,2018,Native,Vine,Muscadine,20,
P5,N,2018,Native,Vine,Muscadine,15,
P5,N,2018,Native,Vine,Virginia Creeper,10,
P6,Y,2018,Native,Forb,Saint Johns Wort,30,
P6,Y,2018,Native,Forb,Saint Johns Wort,10,
P6,Y,2018,Native,Forb,Unknown,80,
P6,Y,2018,Native,Forb,Unknown,20,
P6,Y,2018,Native,Forb,Unknown,10,
P6,Y,2018,Native,Forb,Unknown,30,
P6,Y,2018,Native,Tree,Willow Oak,30,
P6,Y,2018,Native,Tree,Willow Oak,40,
P6,Y,2018,Native,Vine,Muscadine,40,
P6,Y,2018,Invasive,Grass,Japan Grass,20,
P6,Y,2018,Invasive,Grass,Japan Grass,20,
P6,Y,2018,Invasive,Grass,Japan Grass,20,
P6,Y,2018,Invasive,Grass,Japan Grass,20,
P6,Y,2018,Native,Vine,Dewberry,5,
P6,N,2018,Native,Tree,Oak,10,
P6,N,2018,Native,Shrub,American Beautyberry,95,
P6,N,2018,Native,Shrub,American Beautyberry,80,
P6,N,2018,Native,Shrub,American Beautyberry,80,
P6,N,2018,Native,Vine,Blackberry,5,
P6,N,2018,Native,Moss,Moss,5,
WS1,Y,2018,Native,Vine,Trumpet Creeper,30,
WS1,Y,2018,Native,Vine,Trumpet Creeper,48,
WS1,Y,2018,Native,Vine,Blackberry,47,
WS1,Y,2018,Native,Grass,Dicahnthelium,9,
WS1,Y,2018,Native,Tree,Winged Elm,48,
WS1,Y,2018,Native,Tree,Winged Elm,39,
WS1,N,2018,Invasive,Shrub,Chinese Privet,17,
WS1,N,2018,Native,Tree,Sweetgum,150,
WS1,N,2018,Invasive,Vine,Japanese Honeysuckle,18,
WS1,N,2018,Invasive,Vine,Japanese Honeysuckle,9,
WS1,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS1,N,2018,Invasive,Vine,Japanese Honeysuckle,4,
WS1,N,2018,Native,Grass,Dicahnthelium,4,
WS2,Y,2018,Native,Vine,Blackberry,15,
WS2,Y,2018,Native,Vine,Blackberry,16,
WS2,Y,2018,Native,Vine,Blackberry,30,
WS2,Y,2018,Native,Vine,Blackberry,76,
WS2,Y,2018,Native,Vine,Peppervine,31,
WS2,Y,2018,Native,Forb,Goldenrod,19,
WS2,Y,2018,Native,Forb,Goldenrod,43,
WS2,Y,2018,Native,Forb,Goldenrod,61,
WS2,Y,2018,Native,Forb,Goldenrod,65,
WS2,Y,2018,Native,Forb,Goldenrod,34,
WS2,Y,2018,Native,Vine,HempVine,3,
WS2,Y,2018,Native,Vine,HempVine,7,
WS2,Y,2018,Native,Vine,HempVine,5,
WS2,Y,2018,Native,Vine,HempVine,6,
WS2,Y,2018,Native,Vine,HempVine,8,
WS2,Y,2018,Native,Vine,HempVine,8,
WS2,Y,2018,Native,Vine,HempVine,7,
WS2,Y,2018,Native,Forb,Aster,18,
WS2,Y,2018,Native,Forb,Aster,9,
WS2,Y,2018,Native,Vine,Dewberry,20,
WS2,Y,2018,Invasive,Forb,Brazzilian Vervain,47,
WS2,N,2018,Native,Vine,Blackberry,12,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,8,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,7,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,10,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,14,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,16,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,9,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,12,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,8,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,7,
WS2,N,2018,Invasive,Vine,Japanese Honeysuckle,9,
WS2,N,2018,Native,Vine,Virginia Creeper,5,
WS2,N,2018,Native,Vine,Muscadine,15,
WS3,Y,2018,Native,Forb,Goldenrod,40,
WS3,Y,2018,Native,Forb,Goldenrod,66,
WS3,Y,2018,Native,Forb,Goldenrod,92,
WS3,Y,2018,Native,Forb,Goldenrod,32,
WS3,Y,2018,Native,Forb,Goldenrod,15,
WS3,Y,2018,Native,Vine,Blackberry,30,
WS3,Y,2018,Native,Vine,Blackberry,87,
WS3,Y,2018,Native,Vine,Blackberry,55,
WS3,Y,2018,Native,Vine,Blackberry,46,
WS3,Y,2018,Native,Vine,Blackberry,80,
WS3,Y,2018,Native,Vine,Blackberry,29,
WS3,Y,2018,Native,Vine,Blackberry,15,
WS3,Y,2018,Native,Vine,Blackberry,61,
WS3,Y,2018,Native,Vine,Blackberry,18,
WS3,Y,2018,Native,Vine,Blackberry,79,
WS3,Y,2018,Native,Vine,Blackberry,11,
WS3,Y,2018,Native,Forb,Wild Onion,20,
WS3,Y,2018,Native,Forb,Wild Onion,28,
WS3,Y,2018,Native,Vine,dewberry,20,
WS3,Y,2018,Native,Grass,Purpletop,38,
WS3,N,2018,Native,Tree,Loblolly Pine,11,
WS3,N,2018,Native,Tree,Loblolly Pine,34,
WS3,N,2018,Native,Forb,Sicklepod,7,
WS3,N,2018,Native,Forb,Sicklepod,8,
WS3,N,2018,Native,Forb,Sicklepod,4,
WS3,N,2018,Native,Forb,Sicklepod,2,
WS3,N,2018,Native,Forb,Camphorweed,25,
WS3,N,2018,Native,Forb,Axle Flower,20,
WS3,N,2018,Native,Forb,Axle Flower,30,
WS3,N,2018,Native,Vine,Blackberry,12,
WS3,N,2018,Native,Vine,Blackberry,51,
WS3,N,2018,Native,Vine,Blackberry,17,
WS3,N,2018,Native,Vine,Blackberry,11,
WS3,N,2018,Native,Forb,Goldenrod,30,
WS3,N,2018,Native,Forb,Goldenrod,4,
WS4,Y,2018,Invasive,Vine,Japanese Honeysuckle,15,
WS4,Y,2018,Native,Vine,Jessamine,20,
WS4,N,2018,Invasive,Vine,Japanese Honeysuckle,30,
WS4,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS4,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS4,N,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS5,Y,2018,Native,Vine,Peppervine,67,
WS5,Y,2018,Native,Tree,Red Oak,128,
WS5,Y,2018,Native,Tree,Silky Dogwood,14,
WS5,Y,2018,Native,Forb,Goldenrod,17,
WS5,Y,2018,Native,Vine,Blackberry,56,
WS5,Y,2018,Native,Tree,Green ash,150,
WS5,N,2018,Native,Grass,River Oats,68,
WS5,N,2018,Native,Grass,River Oats,29,
WS5,N,2018,Native,Grass,River Oats,32,
WS5,N,2018,Native,Vine,Blackberry,66,
WS5,N,2018,Native,Vine,Blackberry,11,
WS5,N,2018,Native,Vine,Blackberry,14,
WS5,N,2018,Native,Vine,Blackberry,100,
WS5,N,2018,Native,Vine,Blackberry,60,
WS5,N,2018,Native,Vine,Blackberry,59,
WS5,N,2018,Native,Vine,Blackberry,60,
WS5,N,2018,Native,Vine,Blackberry,50,
WS5,N,2018,Native,Vine,Blackberry,8,
WS5,N,2018,Native,Vine,Blackberry,4,
WS5,N,2018,Native,Vine,Blackberry,8,
WS5,N,2018,Native,Vine,Blackberry,6,
WS5,N,2018,Native,Vine,Blackberry,9,
WS5,N,2018,Invasive,Vine,Japanese Honeysuckle,29,
WS5,N,2018,Invasive,Vine,Japanese Honeysuckle,40,
WS5,N,2018,Native,Vine,Poison Ivy,33,
WS5,N,2018,Native,Tree,Sweetgum,25,
WS5,N,2018,Native,Tree,Loblolly Pine,50,
WS5,N,2018,Native,Tree,Loblolly Pine,30,
WS5,N,2018,Native,Grass,Broom Sedge,65,
WS5,N,2018,Native,Tree,Red maple,23,
WS5,N,2018,Native,Tree,Red maple,19,
WS5,N,2018,Native,Vine,Alabama Supplejack,59,
WS5,N,2018,Invasive,Forb,Sericea Lespedeza,56,
WS5,N,2018,Invasive,Forb,Sericea Lespedeza,50,
WS5,N,2018,Native,Forb,Flattop Goldenrod,35,
WS5,N,2018,Native,Grass,Sedge,20,
WS5,N,2018,Native,Grass,Sedge,15,
WS5,N,2018,Native,Grass,Sedge,40,
WS5,N,2018,Native,Vine,Virginia Creeper,10,
WS5,N,2018,Native,Vine,Virginia Creeper,9,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,10,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,6,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,6,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,9,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,8,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,5,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,4,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,20,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,25,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,13,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,12,
WS6,Y,2018,Invasive,Vine,Japanese Honeysuckle,38,
WS6,Y,2018,Native,Vine,Peppervine,31,
WS6,Y,2018,Native,Vine,Peppervine,33,
WS6,Y,2018,Native,Vine,Peppervine,50,
WS6,Y,2018,Native,Forb,Unknown,24,
WS6,Y,2018,Native,Forb,Unknown,17,
WS6,Y,2018,Native,Grass,Plume Grass,150,
WS6,Y,2018,Native,Forb,Goldenrod,50,
WS6,N,2018,Native,Tree,Loblolly Pine,30,
WS6,N,2018,Native,Grass,Plume Grass,40,
WS7,Y,2018,Native,Forb,Aster,12,
WS7,Y,2018,Native,Tree,Loblolly Pine,35,
WS7,Y,2018,Native,Tree,Yellow Poplar,30,
WS7,Y,2018,Native,Vine,HempVine,20,
WS7,Y,2018,Native,Grass,Rush,25,
WS7,Y,2018,Native,Vine,Blackberry,20,
WS7,Y,2018,Native,Tree,Winged Elm,17,
WS7,Y,2018,Native,Vine,Trumpet Creeper,35,
WS7,N,2018,Native,Forb,Goldenrod,56,
WS7,N,2018,Native,Vine,Peppervine,7,
WS7,N,2018,Native,Vine,Peppervine,15,
WS7,N,2018,Native,Vine,Peppervine,20,
WS7,N,2018,Native,Vine,Peppervine,59,
WS7,N,2018,Native,Vine,Trumpet Creeper,70,
WS7,N,2018,Native,Vine,Trumpet Creeper,72,
WS7,N,2018,Native,Vine,Trumpet Creeper,65,
WS7,N,2018,Native,Vine,Trumpet Creeper,68,
WS7,N,2018,Native,Vine,Trumpet Creeper,52,
WS7,N,2018,Native,Vine,Blackberry,45,
WS7,N,2018,Native,Tree,Green ash,150,
